nombre,nombre_sin_acentos
Abbie,Abbie
Abigail,Abigail
Abril,Abril
Acalia,Acalia
Ada,Ada
Adara,Adara
Adartza,Adartza
Adela,Adela
Adelaida,Adelaida
Adirane,Adirane
Adri,Adri
Adriana,Adriana
Agate,Agate
Agnes,Agnes
Aida,Aida
Aimar,Aimar
Aine,Aine
Aisha,Aisha
Aitana,Aitana
Alaia,Alaia
Alba,Alba
Alda,Alda
Aldara,Aldara
Alessandra,Alessandra
Alessia,Alessia
Alex,Alex
Alexa,Alexa
Alexandra,Alexandra
Alexia,Alexia
Alicia,Alicia
Alida,Alida
Alina,Alina
Aline,Aline
Alix,Alix
Allegra,Allegra
Alma,Alma
Aloia,Aloia
Alya,Alya
Amable,Amable
Amada,Amada
Amaia,Amaia
Amalia,Amalia
Amanda,Amanda
Amaranta,Amaranta
Amelia,Amelia
Amelie,Amelie
Amina,Amina
Amparo,Amparo
Ana,Ana
Anabel,Anabel
Anaís,Anais
Anastasia,Anastasia
Andrea,Andrea
Andreia,Andreia
Anduriña,Andurina
Ane,Ane
Ángela,Angela
Angelina,Angelina
Ángels,Angels
Ania,Ania
Anita,Anita
Antía,Antia
Antonella,Antonella
Antonia,Antonia
Anxa,Anxa
Ánxela,Anxela
Arabela,Arabela
Ariadna,Ariadna
Ariel,Ariel
Arlet,Arlet
Asia,Asia
Assumpció,Assumpcio
Astrid,Astrid
Asunción,Asuncion
Asya,Asya
Atenea,Atenea
Athena,Athena
Aura,Aura
Aurora,Aurora
Ava,Ava
Azahara,Azahara
Bahar,Bahar
Baia,Baia
Bárbara,Barbara
Basma,Basma
Beatrice,Beatrice
Beatriz,Beatriz
Begoña,Begona
Bela,Bela
Belén,Belen
Benazir,Benazir
Benvida,Benvida
Berenice,Berenice
Berta,Berta
Betsabé,Betsabe
Bianca,Bianca
Blanca,Blanca
Blau,Blau
Bonanova,Bonanova
Bonnie,Bonnie
Branca,Branca
Brixida,Brixida
Brooke,Brooke
Bruna,Bruna
Buffy,Buffy
Caetana,Caetana
Calipso,Calipso
Callie,Callie
Camelia,Camelia
Camila,Camila
Candence,Candence
Cara,Cara
Caridad,Caridad
Caridade,Caridade
Carina,Carina
Carla,Carla
Carlota,Carlota
Carmela,Carmela
Carmen,Carmen
Carolina,Carolina
Casandra,Casandra
Catalina,Catalina
Cayetana,Cayetana
Cecia,Cecia
Cecilia,Cecilia
Cel,Cel
Celeste,Celeste
Celestine,Celestine
Celia,Celia
Célia,Celia
Cesca,Cesca
Chanel,Chanel
Chastity,Chastity
Chechilia,Chechilia
Chelsea,Chelsea
Chiara,Chiara
Ciara,Ciara
Cinzia,Cinzia
Cira,Cira
Clara,Clara
Clarise,Clarise
Claudia,Claudia
Cleo,Cleo
Clío,Clio
Cloe,Cloe
Colette,Colette
Concepción,Concepcion
Concetta,Concetta
Connie,Connie
Consagrada,Consagrada
Consol,Consol
Constanza,Constanza
Cora,Cora
Cordelia,Cordelia
Crésida,Cresida
Criss,Criss
Cristela,Cristela
Cristina,Cristina
Dafne,Dafne
Daisy,Daisy
Dakota,Dakota
Dalia,Dalia
Dalila,Dalila
Dallas,Dallas
Damaris,Damaris
Dana,Dana
Dánae,Danae
Dani,Dani
Daniela,Daniela
Dara,Dara
Daria,Daria
Débora,Debora
Del borde,Del borde
Delia,Delia
Deva,Deva
Diana,Diana
Diletta,Diletta
Dina,Dina
Dione,Dione
Diva,Diva
Dolca,Dolca
Dolores,Dolores
Donna,Donna
Donnia,Donnia
Dora,Dora
Doris,Doris
Dulce,Dulce
Duna,Duna
Edith,Edith
Edurne,Edurne
Egia,Egia
Eir,Eir
Ela,Ela
Elba,Elba
Elda,Elda
Electra,Electra
Elena,Elena
Eleonor,Eleonor
Eleonora,Eleonora
Elia,Elia
Eliana,Eliana
Elina,Elina
Elisa,Elisa
Elisabet,Elisabet
Elisabeth,Elisabeth
Elizabeth,Elizabeth
Ella,Ella
Elna,Elna
Elvira,Elvira
Ema,Ema
Emilia,Emilia
Emma,Emma
Enit,Enit
Erea,Erea
Erica,Erica
Erin,Erin
Esmeralda,Esmeralda
Esperanza,Esperanza
Estefanía,Estefania
Estela,Estela
Ester,Ester
Esther,Esther
Estrella,Estrella
Eugenia,Eugenia
Euxea,Euxea
Euxenia,Euxenia
Eva,Eva
Evangelina,Evangelina
Everly,Everly
Fabia,Fabia
Fabiola,Fabiola
Fanny,Fanny
Fátima,Fatima
Febe,Febe
Fernanda,Fernanda
Filomena,Filomena
Fiona,Fiona
Fiorella,Fiorella
Flaviana,Flaviana
Flor,Flor
Florence,Florence
Francesca,Francesca
Francisca,Francisca
Freya,Freya
Frida,Frida
Fuerte,Fuerte
Gabriela,Gabriela
Gabriella,Gabriella
Gadea,Gadea
Gala,Gala
Galia,Galia
Gemma,Gemma
Gina,Gina
Ginebra,Ginebra
Giorgia,Giorgia
Giovanna,Giovanna
Giselle,Giselle
Gladys,Gladys
Gloria,Gloria
Greta,Greta
Griselda,Griselda
Guadalupe,Guadalupe
Hada,Hada
Haimi,Haimi
Haizea,Haizea
Hana,Hana
Harper,Harper
Heaven,Heaven
Heidi,Heidi
Helena,Helena
Hellen,Hellen
Heloisa,Heloisa
Hilda,Hilda
Hope,Hope
Hortensia,Hortensia
Iana,Iana
Ibarne,Ibarne
Ibbie,Ibbie
Icía,Icia
Idara,Idara
Iera,Iera
Ikia,Ikia
Ileana,Ileana
India,India
Inés,Ines
Ingrid,Ingrid
Ioanna,Ioanna
Irati,Irati
Irene,Irene
Iria,Iria
Irina,Irina
Iris,Iris
Irma,Irma
Irune,Irune
Isa,Isa
Isabel,Isabel
Isabella,Isabella
Isona,Isona
Ivet,Ivet
Ivette,Ivette
Izaro,Izaro
Jade,Jade
Jana,Jana
Janet,Janet
Janne,Janne
Jazmín,Jazmin
Jazmine,Jazmine
Jeanette,Jeanette
